annual_rainfall,seasonal_rainfall,cloud_visibility,humidity,temperature,river_level,flood_occurred
1642.79,693.91,11.19,72.1,42.4,2.05,0
1473.83,410.21,4.43,57.62,36.53,1.91,0
2149.12,1198.22,3.3,81.2,28.05,9.22,1
1179.76,440.21,4.43,54.51,23.68,6.01,0
952.51,336.11,7.14,53.33,24.91,3.21,0
1313.29,384.96,7.09,57.08,35.41,1.95,0
2671.36,1815.7,1.74,86.69,33.31,11.69,1
2350.31,1661.15,3.27,89.49,31.17,9.34,1
1286.2,392.22,9.71,52.91,38.01,3.6,0
764.1,199.87,6.83,84.35,28.63,4.75,0
1080.27,258.11,9.09,63.29,38.01,2.2,0
1392.66,544.97,7.77,46.71,28.29,2.75,0
1285.91,597.36,6.85,55.79,29.13,2.2,0
2363.32,1514.24,0.88,77.52,26.45,7.01,1
1736.75,1203.63,0.82,84.97,24.39,7.13,1
1771.18,1321.51,0.99,85.31,26.69,6.01,1
1347.62,523.22,8.45,60.7,30.08,2.67,0
1880.25,1152.89,3.73,85.18,21.79,9.97,1
1082.92,413.23,8.33,61.93,29.71,3.38,0
3311.73,1953.93,2.53,92.32,25.99,12.77,1
1305.9,333.78,5.88,42.58,36.74,2.92,0
2014.02,1500.88,3.78,81.31,29.75,8.06,1
1352.19,425.2,9.73,76.09,28.48,1.2,0
926.93,216.48,10.65,60.08,25.11,2.88,0
810.52,284.11,3.94,30.51,22.24,3.52,0
1118.5,406.14,10.25,50.02,25.13,3.78,0
1545.23,611.16,5.29,33.97,28.53,3.68,0
889.96,195.85,9.75,63.09,22.91,5.53,0
,483.47,9.72,58.44,33.96,3.13,0
1031.14,497.8,6.8,58.46,26.22,1.89,0
728.27,244.05,9.88,68.11,33.84,2.3,0
992.21,489.38,7.11,79.8,23.51,3.63,0
2366.61,1822.51,3.62,88.0,25.66,11.05,1
1392.54,590.52,7.74,56.65,32.14,4.63,0
2414.99,1867.32,4.13,86.53,29.75,5.68,1
500.54,237.77,4.83,57.47,40.92,4.21,0
960.28,376.35,9.85,55.32,21.59,4.22,0
1296.77,295.5,7.91,47.32,29.04,3.53,0
1478.78,401.64,3.69,49.66,27.7,1.9,0
1715.98,1035.04,3.16,89.61,21.63,11.42,1
2902.92,1843.71,1.1,,24.64,12.97,1
2340.47,1340.43,2.58,79.6,20.79,7.03,1
862.24,302.61,9.05,65.97,27.28,0.5,0
2329.52,1254.43,2.59,86.22,26.45,10.65,1
473.89,121.73,10.29,40.92,31.75,1.22,0
782.69,238.66,9.83,60.19,25.98,1.75,0
743.18,256.49,6.95,73.91,33.2,2.85,0
1250.2,498.17,10.23,50.74,26.57,5.26,0
1087.15,540.73,7.9,30.0,22.85,5.75,0
1516.5,364.52,5.36,56.65,30.72,3.02,0
1565.15,673.81,6.62,79.63,31.65,4.45,0
1086.38,376.56,7.23,67.01,28.97,3.5,0
2368.17,1367.76,2.01,90.19,29.43,7.5,1
2118.55,1120.7,0.67,90.28,30.86,7.55,1
1100.06,340.58,10.63,58.04,26.27,4.96,0
1850.92,1434.83,1.76,87.77,31.57,7.04,1
1046.92,442.95,7.45,73.3,29.22,4.31,0
